country;region;median_age;birth_rate;death_rate;life_expectancy;fertility_rate;obesity_rate
Japan;East Asia/Southeast Asia;48,6;7;11,44;84,65;1,38;4,3
Germany;Europe;47,8;8,63;12,22;81,3;1,48;22,3
Italy;Europe;46,5;8,37;10,7;82,67;1,47;19,9
Andorra;Europe;46,2;6,91;7,86;83,23;1,44;25,6
Greece;Europe;45,3;7,72;12,05;81,28;1,39;24,9
Slovenia;Europe;44,9;8,5;10,34;81,61;1,59;20,2
Portugal;Europe;44,6;8,02;10,9;81,29;1,42;20,8
Austria;Europe;44,5;9,48;9,85;82,07;1,5;20,1
Lithuania;Europe;44,5;9,42;15,05;75,61;1,61;26,3
Latvia;Europe;44,4;8,96;14,63;75,65;1,54;23,6
Croatia;Europe;43,9;8,68;12,78;76,97;1,44;24,4
Spain;Europe;43,9;8,05;9,78;82,21;1,51;23,8
Bulgaria;Europe;43,7;8,15;14,52;75,3;1,49;25
Estonia;Europe;43,7;9,03;13,06;77,63;1,61;21,2
Hungary;Europe;43,6;8,72;12,88;76,95;1,48;26,4
Serbia;Europe;43,4;8,74;13,49;76,56;1,47;21,5
Bosnia and Herzegovina;Europe;43,3;8,5;10,25;77,74;1,35;17,9
Czechia;Europe;43,3;8,75;10,72;79,5;1,49;26
Korea, South;East Asia/Southeast Asia;43,2;6,89;6,96;82,78;1,09;4,7
Finland;Europe;42,8;10,49;10,33;81,55;1,74;22,2
Netherlands;Europe;42,8;10,98;9,22;81,95;1,78;20,4
Switzerland;Europe;42,7;10,41;8,44;83,03;1,58;19,5
Romania;Europe;42,5;8,39;11,99;76,3;1,38;22,5
Malta;Europe;42,3;9,84;8,37;83;1,5;28,9
Cuba;Central America;42,1;10,25;9,22;79,41;1,71;24,6
Denmark;Europe;42;11,17;9,5;81,45;1,77;19,7
Poland;Europe;41,9;8,69;10,68;78,53;1,39;23,1
Canada;North America;41,8;10,21;8,08;83,62;1,57;29,4
Slovakia;Europe;41,8;9,1;10,08;78,07;1,45;20,5
France;Europe;41,7;11,77;9,58;82,39;2,04;21,6
Belgium;Europe;41,6;11,03;9,71;81,65;1,77;22,1
Ukraine;Europe;41,2;9,23;13,9;73,18;1,56;24,1
Sweden;Europe;41,1;11,93;9,39;82,6;1,86;20,6
Belarus;Europe;40,9;9,32;12,96;74,01;1,51;24,5
United Kingdom;Europe;40,6;11,77;9,41;81,3;1,86;27,8
Russia;Central Asia;40,3;9,71;13,4;72,16;1,6;23,1
Montenegro;Europe;39,6;11,35;10,37;77,51;1,82;23,3
Barbados;Central America;39,5;10,96;7,9;78,31;1,7;23,1
Luxembourg;Europe;39,5;11,62;7,26;82,78;1,63;22,6
Norway;Europe;39,5;12,09;8,01;82,35;1,84;23,1
Thailand;East Asia/Southeast Asia;39;10,25;7,66;77,41;1,54;10
Georgia;Middle East;38,6;11,26;10,84;77,25;1,75;21,7
United States;North America;38,5;12,33;8,35;80,43;1,84;36,2
China;East Asia/Southeast Asia;38,4;11,3;8,26;76,31;1,6;6,2
United Arab Emirates;Middle East;38,4;10,87;1,51;79,37;1,65;31,7
Cook Islands;Australia - Oceania;38,3;12,85;8,89;76,89;2,09;55,9
Cyprus;Europe;37,9;10,76;6,9;79,51;1,48;21,8
Ireland;Europe;37,8;12,6;6,72;81,45;1,93;25,3
Trinidad and Tobago;Central America;37,8;11,12;8,68;74,92;1,7;18,6
Moldova;Europe;37,7;10,45;12,46;72,16;1,58;18,9
Australia;Australia - Oceania;37,5;12,35;6,78;82,89;1,74;29
New Zealand;Australia - Oceania;37,2;12,83;6,91;82,33;1,87;30,8
Iceland;Europe;37,1;13,12;6,56;83,45;1,96;21,9
Saint Lucia;Central America;36,9;12,27;7,96;78,71;1,73;19,7
Seychelles;Africa;36,8;12,63;6,83;75,84;1,82;14
Armenia;Middle East;36,6;11,45;9,48;75,86;1,65;20,2
Saint Kitts and Nevis;Central America;36,5;12,43;7,24;76,83;1,77;22,9
Mauritius;Africa;36,3;12,44;7,23;76,7;1,73;10,8
Singapore;East Asia/Southeast Asia;35,6;9,13;3,93;86,19;1,15;6,1
Chile;South America;35,5;12,92;6,47;79,57;1,76;28
Uruguay;South America;35,5;12,75;9,24;78,19;1,76;27,9
Saint Vincent and the Grenadines;Central America;35,3;12,44;7,42;76,43;1,75;23,7
Dominica;Central America;34,9;14,16;8,14;77,96;2,02;27,9
Korea, North;East Asia/Southeast Asia;34,6;14,35;9,39;71,65;1,91;6,8
Albania;Europe;34,3;12,86;7,27;79,23;1,53;21,7
Palau;Australia - Oceania;33,9;11,47;8,19;74,38;1,7;55,3
Lebanon;Middle East;33,7;13,35;5,57;78,53;1,71;32
Qatar;Middle East;33,7;9,38;1,42;79,58;1,9;35,1
Sri Lanka;South Asia;33,7;14,01;6,45;77,75;2;5,2
Grenada;Central America;33,3;14,27;8,29;75,48;1,95;21,3
Brazil;South America;33,2;13,44;6,8;74,98;1,73;22,1
Bahrain;Middle East;32,9;12,5;2,81;79,67;1,68;29,8
Bahamas, The;Central America;32,8;14,78;6,34;75,87;1,98;31,6
Antigua and Barbuda;Central America;32,7;15,3;5,63;77,55;1,96;18,9
Tunisia;Africa;32,7;15,21;6,35;76,57;2,03;26,9
Azerbaijan;Middle East;32,6;14,03;6,93;73,88;1,87;19,9
Costa Rica;Central America;32,6;14,53;4,86;79,41;1,87;25,7
